feature_name,importance,category,description,rank
Ti,0.0145,元素组成,钛元素含量,43
Ga,0.014453378978124865,其他,特征: Ga,44
Hg,0.01400042750373098,其他,特征: Hg,45
osda_max_eccentricity,0.013587923402725657,其他,特征: osda_max_eccentricity,46
seed,0.0134,合成条件,晶种使用,47
Cu,0.01262520499972521,其他,特征: Cu,48
V,0.01254335218612733,其他,特征: V,49
Mg,0.012421185223120967,其他,特征: Mg,50
Cs,0.012374511199743695,其他,特征: Cs,51
osda_max_polarity,0.012360099597410617,其他,特征: osda_max_polarity,52
OH,0.0123,pH条件,碱浓度,53
Cd,0.012255876808378807,其他,特征: Cd,54
osda_max_axes_ratio,0.011387495307522314,其他,特征: osda_max_axes_ratio,55
osda_min_surface_area,0.011311225580006721,其他,特征: osda_min_surface_area,56
Be,0.010970372201012518,其他,特征: Be,57
osda_min_axes_ratio,0.010881292402378406,其他,特征: osda_min_axes_ratio,58
Ag,0.010770454329858622,其他,特征: Ag,59
Gel_P_Si,0.010408361292114133,其他,特征: Gel_P_Si,60
Y,0.009665329700123682,其他,特征: Y,61
aging_time,0.009362897381052424,其他,特征: aging_time,62
W,0.0092069553542002,其他,特征: W,63
osda_max_refractivity,0.008384868504100158,其他,特征: osda_max_refractivity,64
Li,0.008116262258099888,其他,特征: Li,65
La,0.007960875022580142,其他,特征: La,66
osda_max_volume,0.007778313207178196,其他,特征: osda_max_volume,67
osda_min_refractivity,0.007181276284502022,其他,特征: osda_min_refractivity,68
osda_mean_eccentricity,0.006922510445698808,其他,特征: osda_mean_eccentricity,69
As,0.006787661614294043,其他,特征: As,70
Nb,0.006780602616231216,其他,特征: Nb,71
Gd,0.006550748322169145,其他,特征: Gd,72
Ce,0.006533353663762796,其他,特征: Ce,73
osda_mean_volume,0.006337755684060234,其他,特征: osda_mean_volume,74
osda_mean_refractivity,0.0061556316037040225,其他,特征: osda_mean_refractivity,75
osda_mean_sasa,0.0059168196504003215,其他,特征: osda_mean_sasa,76
Co,0.005034443102887247,其他,特征: Co,77
Sm,0.004793801861008835,其他,特征: Sm,78
osda_max_molecular_weight,0.004723674385963758,其他,特征: osda_max_molecular_weight,79
osda_mean_axes_ratio,0.004512234654985014,其他,特征: osda_mean_axes_ratio,80
Zn,0.004484685687215243,其他,特征: Zn,81
Cr,0.004454674376934912,其他,特征: Cr,82
Ta,0.004239958350058539,其他,特征: Ta,83
Ba,0.003964354168406294,其他,特征: Ba,84
Ca,0.0039638958863878505,其他,特征: Ca,85
osda_max_surface_area,0.0036775602745204904,其他,特征: osda_max_surface_area,86
Sn,0.003650383352388795,其他,特征: Sn,87
Gel_P_Al,0.0033187264620507975,其他,特征: Gel_P_Al,88
Pb,0.0028557701661212935,其他,特征: Pb,89
osda_min_molecular_weight,0.0026813575389864706,其他,特征: osda_min_molecular_weight,90
osda_min_density,0.002416462229915646,其他,特征: osda_min_density,91
Ru,0.002235980266720311,其他,特征: Ru,92
In,0.00210358863119579,其他,特征: In,93
Zr,0.0018825578416799566,其他,特征: Zr,94
osda_mean_molecular_weight,0.0018593184893002232,其他,特征: osda_mean_molecular_weight,95
osda_max_bertz,0.0016533819011891496,其他,特征: osda_max_bertz,96
Ni,0.0013911053916202466,其他,特征: Ni,97
