Framework,Precision,Recall,F1_Score,Support
DOH,0.7142857142857143,0.5555555555555556,0.625,9.0
EDI,1.0,1.0,1.0,5.0
EMT,0.7307692307692307,0.8636363636363636,0.7916666666666666,22.0
EON,0.0,0.0,0.0,1.0
ERI,0.6428571428571429,0.9473684210526315,0.7659574468085106,19.0
ERI/OFF,1.0,0.9090909090909091,0.9523809523809523,11.0
ETL,0.5,0.5,0.5,2.0
EUO,0.875,0.7777777777777778,0.8235294117647058,18.0
EZT,1.0,1.0,1.0,2.0
FAU,0.8051948051948052,0.7560975609756098,0.779874213836478,82.0
FAU/EMT,0.0,0.0,0.0,1.0
FER,0.7380952380952381,0.6888888888888889,0.7126436781609196,45.0
GIS,0.65625,0.7,0.6774193548387096,30.0
GME,0.8,1.0,0.8888888888888888,8.0
HEU,0.5,0.5,0.5,2.0
IFO,0.0,0.0,0.0,1.0
IFR,0.7857142857142857,1.0,0.88,11.0
IFW,1.0,1.0,1.0,1.0
IMF,0.75,0.6666666666666666,0.7058823529411765,9.0
IRR,0.8125,0.8666666666666667,0.8387096774193549,15.0
ISV,0.9333333333333333,0.9333333333333333,0.9333333333333333,15.0
ISV/BEC,0.6551724137931034,0.6333333333333333,0.6440677966101694,30.0
ITE,0.5333333333333333,0.8,0.64,10.0
ITG,1.0,0.6666666666666666,0.8,3.0
ITH,0.9130434782608695,0.9545454545454546,0.9333333333333333,22.0
ITQ-21,0.8571428571428571,0.9,0.8780487804878049,20.0
ITQ-43,0.4,0.5,0.4444444444444444,4.0
ITR,1.0,1.0,1.0,1.0
ITT,0.7,0.7777777777777778,0.7368421052631579,9.0
ITW,0.9,0.9,0.9,10.0
IWR,0.8571428571428571,0.8571428571428571,0.8571428571428571,21.0
IWS,0.0,0.0,0.0,1.0
IWV,1.0,1.0,1.0,3.0
IWW,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
JBW,0.0,0.0,0.0,1.0
JSW,0.4,1.0,0.5714285714285714,2.0
KFI,1.0,1.0,1.0,3.0
LAU,1.0,1.0,1.0,2.0
LEV,0.8108108108108109,0.8823529411764706,0.8450704225352113,34.0
LOS,1.0,1.0,1.0,6.0
LTA,0.8152173913043478,0.8928571428571429,0.8522727272727273,84.0
LTL,0.7857142857142857,0.6875,0.7333333333333333,16.0
MAZ,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
MEI,0.8,1.0,0.8888888888888888,8.0
MEL,0.7931034482758621,0.8214285714285714,0.8070175438596491,28.0
MEL/MFI,0.75,1.0,0.8571428571428571,3.0
MER,0.6,0.375,0.46153846153846156,8.0
MFI,0.8609467455621301,0.8635014836795252,0.8622222222222222,337.0
MFI/MEL,0.6,0.75,0.6666666666666666,4.0
MFS,0.6,1.0,0.75,3.0
MOR,0.7424242424242424,0.6621621621621622,0.7,74.0
MRT,0.8333333333333334,0.7692307692307693,0.8,13.0
MSE,1.0,1.0,1.0,6.0
MSO,1.0,1.0,1.0,1.0
MTF,0.6,0.75,0.6666666666666666,4.0
MTN,0.6842105263157895,0.8125,0.7428571428571429,16.0
MTT,0.8125,0.7647058823529411,0.7878787878787878,34.0
MTW,0.7560975609756098,0.6888888888888889,0.7209302325581395,90.0
MWF,0.0,0.0,0.0,1.0
MWW,0.9041095890410958,0.9428571428571428,0.9230769230769231,70.0
NAT,0.6666666666666666,1.0,0.8,2.0
NES,1.0,0.3333333333333333,0.5,3.0
NON,0.7241379310344828,0.75,0.7368421052631579,28.0
NSI,0.75,1.0,0.8571428571428571,3.0
NUD-1,1.0,0.5,0.6666666666666666,2.0
OFF,0.6666666666666666,0.6666666666666666,0.6666666666666666,9.0
PAU,1.0,0.3333333333333333,0.5,3.0
PHI,1.0,0.5,0.6666666666666666,6.0
PON,0.6666666666666666,1.0,0.8,2.0
PWW,0.0,0.0,0.0,1.0
RHO,1.0,0.9,0.9473684210526315,10.0
RTE,1.0,1.0,1.0,1.0
RTH,0.7857142857142857,0.6470588235294118,0.7096774193548387,17.0
RUT,0.45454545454545453,0.625,0.5263157894736842,8.0
SAF,0.0,0.0,0.0,1.0
SAO,1.0,1.0,1.0,1.0
SAS,0.6666666666666666,0.8,0.7272727272727273,5.0
SAV,0.8333333333333334,1.0,0.9090909090909091,5.0
SBE,1.0,1.0,1.0,1.0
SFE,1.0,0.6666666666666666,0.8,3.0
SFF,1.0,1.0,1.0,1.0
SFO,0.75,0.8571428571428571,0.8,7.0
SFS,1.0,1.0,1.0,1.0
SGT,1.0,0.3333333333333333,0.5,3.0
SOD,0.6666666666666666,0.75,0.7058823529411765,32.0
SSY,1.0,1.0,1.0,1.0
STF,0.68,0.6071428571428571,0.6415094339622641,28.0
STI,0.25,0.3333333333333333,0.2857142857142857,3.0
STT,0.8571428571428571,0.6666666666666666,0.75,9.0
STW,1.0,1.0,1.0,17.0
SVV,0.0,0.0,0.0,1.0
SWY,1.0,1.0,1.0,2.0
SZR,0.8,0.6153846153846154,0.6956521739130435,13.0
TON,0.7647058823529411,0.9122807017543859,0.832,57.0
TON/MTT,0.42857142857142855,0.5,0.46153846153846156,6.0
TUN,0.42857142857142855,0.6,0.5,5.0
UFI,0.0,0.0,0.0,2.0
UOS,1.0,1.0,1.0,2.0
UOV,0.75,1.0,0.8571428571428571,3.0
UTL,0.8055555555555556,0.8787878787878788,0.8405797101449275,33.0
VET,0.7333333333333333,1.0,0.8461538461538461,11.0
VFI,0.0,0.0,0.0,3.0
YFI,0.5,1.0,0.6666666666666666,1.0
ZON,1.0,1.0,1.0,3.0
